TweetDate,TweetURL,MediaURL,SavedFilename,TweetContent,Replies,Retweets,Likes
2020/05/28 19:28:39,https://twitter.com/rodyoki/status/1266134317052375043,https://pbs.twimg.com/media/EZI12kGWkAEkDBD?format=jpg&name=orig,rodyoki-1266134317052375043-20200528_192839-img4.jpg,Scraps from the last few weeks. No intentions to finish these :/ https://t.co/twg2o9Osc1,,1,23,
2020/05/27 19:49:41,https://twitter.com/rodyoki/status/1265777221412835328,https://pbs.twimg.com/media/EZDxhDFXkAEUhjf?format=jpg&name=orig,rodyoki-1265777221412835328-20200527_194941-img1.jpg,did a Vectorman real quick https://t.co/8h0BEQjLGx,2,8,41,
2020/05/11 19:44:43,https://twitter.com/rodyoki/status/1259977766625325058,https://pbs.twimg.com/media/EXxWx0nWAAEjNEv?format=jpg&name=orig,rodyoki-1259977766625325058-20200511_194443-img1.jpg,"I feel like this needs something, but I can`t figure out exactly what. https://t.co/4lYgwjih4P",8,24,96,
2020/05/09 19:14:09,https://twitter.com/rodyoki/status/1259245300025380867,https://pbs.twimg.com/media/EXm8qtqXYAIFDzj?format=jpg&name=orig,rodyoki-1259245300025380867-20200509_191409-img1.jpg,"Tried a more cartoony and simpler shading on this Rokusho.digitalart medabots https://t.co/WpSM6tpavu",3,4,12,
2020/05/08 19:43:22,https://twitter.com/rodyoki/status/1258890262023208962,https://pbs.twimg.com/media/EXh5PveXQAMRTwP?format=jpg&name=orig,rodyoki-1258890262023208962-20200508_194322-img1.jpg,vuelvo de mi viaje espiritual solitario en las montañas. Ando mas organizado así que debería haber mucha mas consistencia por mi parte. https://t.co/IaWgXKBoXa,,3,19,
2020/04/14 19:20:10,https://twitter.com/rodyoki/status/1250187114614067201,https://pbs.twimg.com/media/EVmOcGMWsAI5z6S?format=jpg&name=orig,rodyoki-1250187114614067201-20200414_192010-img1.jpg,"carbones virtuales, volveré con algo de pelo mas tarde https://t.co/DWU7HniKKr",1,4,16,
2020/04/09 20:08:45,https://twitter.com/rodyoki/status/1248387402357325824,https://pbs.twimg.com/media/EVMpbJ5U0AIFyRj?format=jpg&name=orig,rodyoki-1248387402357325824-20200409_200845-img1.jpg,un personaje mío vestido de Yoshi https://t.co/TJZlsMakKt,,3,13,
2020/04/07 18:47:42,https://twitter.com/rodyoki/status/1247642231864995841,https://pbs.twimg.com/media/EVCCfLSXgAcor4x?format=jpg&name=orig,rodyoki-1247642231864995841-20200407_184742-img1.jpg,"Gracias por acordarse de mi T.T, algunos de mis dibujos favoritos.taggin: @YisusBJ1 @Yaka_Ve @Strange_Raptor https://t.co/lvt5kh5T3J",3,3,13,
2020/04/07 18:47:42,https://twitter.com/rodyoki/status/1247642231864995841,https://pbs.twimg.com/media/EVCChgLXgAAis3J?format=jpg&name=orig,rodyoki-1247642231864995841-20200407_184742-img2.jpg,"Gracias por acordarse de mi T.T, algunos de mis dibujos favoritos.taggin: @YisusBJ1 @Yaka_Ve @Strange_Raptor https://t.co/lvt5kh5T3J",3,3,13,
2020/04/07 18:47:42,https://twitter.com/rodyoki/status/1247642231864995841,https://pbs.twimg.com/media/EVCCu1sWsAcH2wF?format=jpg&name=orig,rodyoki-1247642231864995841-20200407_184742-img3.jpg,"Gracias por acordarse de mi T.T, algunos de mis dibujos favoritos.taggin: @YisusBJ1 @Yaka_Ve @Strange_Raptor https://t.co/lvt5kh5T3J",3,3,13,
2020/04/07 18:47:42,https://twitter.com/rodyoki/status/1247642231864995841,https://pbs.twimg.com/media/EVCC3UEXYAAoFWy?format=jpg&name=orig,rodyoki-1247642231864995841-20200407_184742-img4.jpg,"Gracias por acordarse de mi T.T, algunos de mis dibujos favoritos.taggin: @YisusBJ1 @Yaka_Ve @Strange_Raptor https://t.co/lvt5kh5T3J",3,3,13,
2020/04/01 19:56:25,https://twitter.com/rodyoki/status/1245485196155158528,https://pbs.twimg.com/media/EUjY7kSWAAAoQP3?format=jpg&name=orig,rodyoki-1245485196155158528-20200401_195625-img1.jpg,poses I thought were pretty kewl https://t.co/8nfTKVF14Z,,2,15,
2020/04/01 19:56:25,https://twitter.com/rodyoki/status/1245485196155158528,https://pbs.twimg.com/media/EUjY9J9WsAYFVww?format=jpg&name=orig,rodyoki-1245485196155158528-20200401_195625-img2.jpg,poses I thought were pretty kewl https://t.co/8nfTKVF14Z,,2,15,
